year,Rugosity,cover_grazed_fish,cover_grazed_total
0.0,2.6810803884838874,53.5574329232905,83.55743292329049
0.25,2.481204933222424,50.16286770528297,100.0
0.5,2.433585276575681,49.22081298454176,79.22081298454177
0.75,2.371646430666802,47.90746092790692,100.0
1.0,2.4675597893218155,49.898689718503604,79.8986897185036
1.25,2.737227835153191,54.36961900798129,100.0
1.5,2.8697059450750064,56.08130993215629,86.08130993215629
1.75,2.825616975476104,55.541450669490956,100.0
2.0,2.818611655726081,55.453039796778974,85.45303979677897
2.25,2.8878820635194087,56.2958147336129,100.0
2.5,2.9762199135668377,57.27587268936912,87.27587268936912
