year,Rugosity,cover_grazed_fish,cover_grazed_total
0.0,1.2502572866248276,4.7127561094000265,22.416192329400026
0.25,1.141015230422818,1.568417901082034,23.984610230482062
0.5,1.1308779804672364,1.3552323996830482,16.744840029683047
0.75,1.1382386042819082,1.5085788857232245,18.25341891540627
1.0,1.1387821907647546,1.5202082173602436,19.105543897360242
1.25,1.1481284459359136,1.7266383674686212,20.832182264828862
1.5,1.1497756203962441,1.7642787675967155,18.347248947596714
1.75,1.1837910827128395,2.6232059090285516,20.970454856625267
2.0,1.2015989032432568,3.1323174444861617,77.14678582448616
2.25,1.239029809876157,4.32491842064935,81.47170424513551
2.5,1.371802721922818,9.620312080044366,25.460121910044364
