year,Rugosity,cover_grazed_fish,cover_grazed_total
0.0,2.7060265027125117,53.925158019802126,83.92515801980213
0.5,2.732968620023961,54.30993567702387,84.30993567702387
1.0,2.4808478091302995,50.15601132458307,80.15601132458306
1.5,2.8720952301397236,56.109769717004575,86.10976971700458
2.0,2.924582342289488,56.71524246486025,86.71524246486025
2.5,2.967317971560839,57.18159522528465,87.18159522528465
3.0,3.027975913654405,57.805351322836756,87.80535132283676
3.5,3.153283154820763,58.96614476770902,88.96614476770901
4.0,3.2807429571347977,59.99357607112432,89.99357607112432
4.5,3.2321307770570478,59.61832697744554,89.61832697744555
5.0,3.455927959205543,61.1970882965495,91.19708829654951
5.5,3.5369117680103006,61.68443608789923,91.68443608789923
6.0,3.5486451172082027,61.751824502346665,91.75182450234666
