"species1","species2","prob.species1.wins"
"Astrea_devantieri","Dipsastraea_matthaii",0.6086
"Astrea_devantieri","Favites_spinosa",0.5171
"Astrea_devantieri","Goniopora_albiconus",0.8563
"Astrea_devantieri","Montipora_caliculata",0.9733
"Astrea_devantieri","Montipora_cryptus",0.8519
"Astrea_devantieri","Mycedium_umbra",0.1115
"Astrea_devantieri","Platygyra_daedalea",0.5275
"Dipsastraea_matthaii","Favites_spinosa",0.2168
"Dipsastraea_matthaii","Goniopora_albiconus",0.6063
"Dipsastraea_matthaii","Montipora_caliculata",0.904
"Dipsastraea_matthaii","Montipora_cryptus",0.5978
"Dipsastraea_matthaii","Mycedium_umbra",0.0314
"Dipsastraea_matthaii","Platygyra_daedalea",0.2239
"Favites_spinosa","Goniopora_albiconus",0.691
"Favites_spinosa","Montipora_caliculata",0.9318
"Favites_spinosa","Montipora_cryptus",0.6833
"Favites_spinosa","Mycedium_umbra",0.045
"Favites_spinosa","Platygyra_daedalea",0.2952
"Goniopora_albiconus","Montipora_caliculata",0.7107
"Goniopora_albiconus","Montipora_cryptus",0.2794
"Goniopora_albiconus","Mycedium_umbra",0.0084
"Goniopora_albiconus","Platygyra_daedalea",0.07
"Montipora_caliculata","Montipora_cryptus",0.0596
"Montipora_caliculata","Mycedium_umbra",0.0014
"Montipora_caliculata","Platygyra_daedalea",0.0122
"Montipora_cryptus","Mycedium_umbra",0.0087
"Montipora_cryptus","Platygyra_daedalea",0.0723
"Mycedium_umbra","Platygyra_daedalea",0.7814
