"species1","species2","prob.species1.wins"
"Acropora_gomezi","Acropora_intermedia",0.3017
"Acropora_gomezi","Acropora_longicyathus",0.3259
"Acropora_gomezi","Acropora_prolifera",0.1521
"Acropora_gomezi","Acropora_tortuosa",0.3818
"Acropora_gomezi","Australogyra_zelli",0.0373
"Acropora_gomezi","Duncanopsammia_axifuga",0.0263
"Acropora_gomezi","Echinopora_fruticulosa",0.0302
"Acropora_gomezi","Stylophora_pistillata",0.3371
"Acropora_intermedia","Acropora_longicyathus",0.3101
"Acropora_intermedia","Acropora_prolifera",0.143
"Acropora_intermedia","Acropora_tortuosa",0.3648
"Acropora_intermedia","Australogyra_zelli",0.0348
"Acropora_intermedia","Duncanopsammia_axifuga",0.0245
"Acropora_intermedia","Echinopora_fruticulosa",0.0282
"Acropora_intermedia","Stylophora_pistillata",0.3211
"Acropora_longicyathus","Acropora_prolifera",0.1298
"Acropora_longicyathus","Acropora_tortuosa",0.3392
"Acropora_longicyathus","Australogyra_zelli",0.0312
"Acropora_longicyathus","Duncanopsammia_axifuga",0.0219
"Acropora_longicyathus","Echinopora_fruticulosa",0.0252
"Acropora_longicyathus","Stylophora_pistillata",0.2971
"Acropora_prolifera","Acropora_tortuosa",0.5804
"Acropora_prolifera","Australogyra_zelli",0.0799
"Acropora_prolifera","Duncanopsammia_axifuga",0.057
"Acropora_prolifera","Echinopora_fruticulosa",0.0652
"Acropora_prolifera","Stylophora_pistillata",0.5326
"Acropora_tortuosa","Australogyra_zelli",0.0246
"Acropora_tortuosa","Duncanopsammia_axifuga",0.0173
"Acropora_tortuosa","Echinopora_fruticulosa",0.0199
"Acropora_tortuosa","Stylophora_pistillata",0.2486
"Australogyra_zelli","Duncanopsammia_axifuga",0.2185
"Australogyra_zelli","Echinopora_fruticulosa",0.244
"Australogyra_zelli","Stylophora_pistillata",0.8405
"Duncanopsammia_axifuga","Echinopora_fruticulosa",0.3168
"Duncanopsammia_axifuga","Stylophora_pistillata",0.8833
"Echinopora_fruticulosa","Stylophora_pistillata",0.8677
