"species1","species2","prob.species1.wins"
"Acropora_dendrum","Montipora_hispida",0.2443
"Acropora_dendrum","Montipora_hodgsoni",0.4186
"Acropora_dendrum","Montipora_mollis",0.3303
"Acropora_dendrum","Montipora_nodosa",0.3307
"Acropora_dendrum","Montipora_stellata",0.184
"Acropora_dendrum","Porites_annae",0.1758
"Acropora_dendrum","Porites_columnaris",0.0898
"Acropora_dendrum","Porites_rus",0.3317
"Montipora_hispida","Montipora_hodgsoni",0.4723
"Montipora_hispida","Montipora_mollis",0.38
"Montipora_hispida","Montipora_nodosa",0.3804
"Montipora_hispida","Montipora_stellata",0.2189
"Montipora_hispida","Porites_annae",0.2096
"Montipora_hispida","Porites_columnaris",0.1092
"Montipora_hispida","Porites_rus",0.3815
"Montipora_hodgsoni","Montipora_mollis",0.2158
"Montipora_hodgsoni","Montipora_nodosa",0.2161
"Montipora_hodgsoni","Montipora_stellata",0.1117
"Montipora_hodgsoni","Porites_annae",0.1064
"Montipora_hodgsoni","Porites_columnaris",0.0522
"Montipora_hodgsoni","Porites_rus",0.2169
"Montipora_mollis","Montipora_nodosa",0.287
"Montipora_mollis","Montipora_stellata",0.1552
"Montipora_mollis","Porites_annae",0.1481
"Montipora_mollis","Porites_columnaris",0.0744
"Montipora_mollis","Porites_rus",0.2879
"Montipora_nodosa","Montipora_stellata",0.1549
"Montipora_nodosa","Porites_annae",0.1478
"Montipora_nodosa","Porites_columnaris",0.0743
"Montipora_nodosa","Porites_rus",0.2876
"Montipora_stellata","Porites_annae",0.2755
"Montipora_stellata","Porites_columnaris",0.1496
"Montipora_stellata","Porites_rus",0.4694
"Porites_annae","Porites_columnaris",0.1567
"Porites_annae","Porites_rus",0.4832
"Porites_columnaris","Porites_rus",0.669
