"species1","species2","prob.species1.wins"
"Astreopora_suggesta","Echinophyllia_costata",0.0301
"Astreopora_suggesta","Euphyllia_yaeyamaensis",0.0078
"Astreopora_suggesta","Favites_valenciennesi",0.0481
"Astreopora_suggesta","Goniastrea_retiformis",0.0396
"Astreopora_suggesta","Goniopora_eclipsensis",0.0812
"Astreopora_suggesta","Montipora_cactus",0.2294
"Astreopora_suggesta","Montipora_hodgsoni",0.4555
"Astreopora_suggesta","Sandalolitha_dentata",0.1307
"Echinophyllia_costata","Euphyllia_yaeyamaensis",0.0927
"Echinophyllia_costata","Favites_valenciennesi",0.3953
"Echinophyllia_costata","Goniastrea_retiformis",0.3479
"Echinophyllia_costata","Goniopora_eclipsensis",0.5332
"Echinophyllia_costata","Montipora_cactus",0.7938
"Echinophyllia_costata","Montipora_hodgsoni",0.9154
"Echinophyllia_costata","Sandalolitha_dentata",0.6603
"Euphyllia_yaeyamaensis","Favites_valenciennesi",0.72
"Euphyllia_yaeyamaensis","Goniastrea_retiformis",0.6772
"Euphyllia_yaeyamaensis","Goniopora_eclipsensis",0.818
"Euphyllia_yaeyamaensis","Montipora_cactus",0.938
"Euphyllia_yaeyamaensis","Montipora_hodgsoni",0.977
"Euphyllia_yaeyamaensis","Sandalolitha_dentata",0.8843
"Favites_valenciennesi","Goniastrea_retiformis",0.2469
"Favites_valenciennesi","Goniopora_eclipsensis",0.4125
"Favites_valenciennesi","Montipora_cactus",0.7029
"Favites_valenciennesi","Montipora_hodgsoni",0.8693
"Favites_valenciennesi","Sandalolitha_dentata",0.5444
"Goniastrea_retiformis","Goniopora_eclipsensis",0.4625
"Goniastrea_retiformis","Montipora_cactus",0.7436
"Goniastrea_retiformis","Montipora_hodgsoni",0.8907
"Goniastrea_retiformis","Sandalolitha_dentata",0.5942
"Goniopora_eclipsensis","Montipora_cactus",0.5752
"Goniopora_eclipsensis","Montipora_hodgsoni",0.7919
"Goniopora_eclipsensis","Sandalolitha_dentata",0.4061
"Montipora_cactus","Montipora_hodgsoni",0.5303
"Montipora_cactus","Sandalolitha_dentata",0.1687
"Montipora_hodgsoni","Sandalolitha_dentata",0.0674
