"species1","species2","prob.species1.wins"
"Cantharellus_doederleini","Cycloseris_distorta",0.7287
"Cantharellus_doederleini","Cycloseris_fragilis",0.619
"Cantharellus_doederleini","Cycloseris_hexagonalis",0.6147
"Cantharellus_doederleini","Homophyllia_australis",0.2072
"Cantharellus_doederleini","Pachyseris_speciosa",0.9587
"Cantharellus_doederleini","Scolymia_cubensis",0.2452
"Cantharellus_doederleini","Trachyphyllia_geoffroyi",0.9707
"Cycloseris_distorta","Cycloseris_fragilis",0.1956
"Cycloseris_distorta","Cycloseris_hexagonalis",0.1927
"Cycloseris_distorta","Homophyllia_australis",0.0376
"Cycloseris_distorta","Pachyseris_speciosa",0.7767
"Cycloseris_distorta","Scolymia_cubensis",0.0464
"Cycloseris_distorta","Trachyphyllia_geoffroyi",0.8319
"Cycloseris_fragilis","Cycloseris_hexagonalis",0.2829
"Cycloseris_fragilis","Homophyllia_australis",0.0607
"Cycloseris_fragilis","Pachyseris_speciosa",0.8518
"Cycloseris_fragilis","Scolymia_cubensis",0.0744
"Cycloseris_fragilis","Trachyphyllia_geoffroyi",0.8911
"Cycloseris_hexagonalis","Homophyllia_australis",0.0618
"Cycloseris_hexagonalis","Pachyseris_speciosa",0.8541
"Cycloseris_hexagonalis","Scolymia_cubensis",0.0756
"Cycloseris_hexagonalis","Trachyphyllia_geoffroyi",0.8928
"Homophyllia_australis","Pachyseris_speciosa",0.9728
"Homophyllia_australis","Scolymia_cubensis",0.3331
"Homophyllia_australis","Trachyphyllia_geoffroyi",0.9807
"Pachyseris_speciosa","Scolymia_cubensis",0.0056
"Pachyseris_speciosa","Trachyphyllia_geoffroyi",0.3638
"Scolymia_cubensis","Trachyphyllia_geoffroyi",0.9761
