"species1","species2","prob.species1.wins"
"Galaxea_cryptoramosa","Isopora_brueggemanni",0.7313
"Galaxea_cryptoramosa","Madracis_asanoi",0.1581
"Galaxea_cryptoramosa","Madracis_mirabilis",0.3723
"Galaxea_cryptoramosa","Palauastrea_ramosa",0.811
"Galaxea_cryptoramosa","Pocillopora_molokensis",0.5825
"Galaxea_cryptoramosa","Porites_porites",0.256
"Isopora_brueggemanni","Madracis_asanoi",0.027
"Isopora_brueggemanni","Madracis_mirabilis",0.0805
"Isopora_brueggemanni","Palauastrea_ramosa",0.3878
"Isopora_brueggemanni","Pocillopora_molokensis",0.1708
"Isopora_brueggemanni","Porites_porites",0.0483
"Madracis_asanoi","Madracis_mirabilis",0.5593
"Madracis_asanoi","Palauastrea_ramosa",0.9018
"Madracis_asanoi","Pocillopora_molokensis",0.7491
"Madracis_asanoi","Porites_porites",0.4241
"Madracis_mirabilis","Palauastrea_ramosa",0.744
"Madracis_mirabilis","Pocillopora_molokensis",0.4859
"Madracis_mirabilis","Porites_porites",0.1891
"Palauastrea_ramosa","Pocillopora_molokensis",0.1155
"Palauastrea_ramosa","Porites_porites",0.0312
"Pocillopora_molokensis","Porites_porites",0.0902
