"species1","species2","prob.species1.wins"
"Alveopora_japonica","Balanophyllia_europaea",0.0151
"Alveopora_japonica","Favites_abdita",0.2335
"Alveopora_japonica","Madracis_formosa",0.6764
"Alveopora_japonica","Madracis_kirbyi",0.7704
"Alveopora_japonica","Montipora_hemispherica",0.5809
"Alveopora_japonica","Psammocora_digitata",0.7528
"Alveopora_japonica","Stephanocoenia_intersepta",0.3721
"Balanophyllia_europaea","Favites_abdita",0.8889
"Balanophyllia_europaea","Madracis_formosa",0.9821
"Balanophyllia_europaea","Madracis_kirbyi",0.9888
"Balanophyllia_europaea","Montipora_hemispherica",0.9733
"Balanophyllia_europaea","Psammocora_digitata",0.9877
"Balanophyllia_europaea","Stephanocoenia_intersepta",0.9397
"Favites_abdita","Madracis_formosa",0.7338
"Favites_abdita","Madracis_kirbyi",0.8157
"Favites_abdita","Montipora_hemispherica",0.6464
"Favites_abdita","Psammocora_digitata",0.8007
"Favites_abdita","Stephanocoenia_intersepta",0.4387
"Madracis_formosa","Madracis_kirbyi",0.3921
"Madracis_formosa","Montipora_hemispherica",0.2104
"Madracis_formosa","Psammocora_digitata",0.3693
"Madracis_formosa","Stephanocoenia_intersepta",0.1023
"Madracis_kirbyi","Montipora_hemispherica",0.1424
"Madracis_kirbyi","Psammocora_digitata",0.2672
"Madracis_kirbyi","Stephanocoenia_intersepta",0.0663
"Montipora_hemispherica","Psammocora_digitata",0.4689
"Montipora_hemispherica","Stephanocoenia_intersepta",0.1466
"Psammocora_digitata","Stephanocoenia_intersepta",0.0725
