"species1","species2","prob.species1.wins"
"Acropora_loisetteae","Acropora_muricata",0.5007
"Acropora_loisetteae","Anacropora_matthai",0.6273
"Acropora_loisetteae","Echinophyllia_echinata",0.1843
"Acropora_loisetteae","Leptoseris_incrustans",0.4674
"Acropora_loisetteae","Madracis_kirbyi",0.4615
"Acropora_loisetteae","Pavona_duerdeni",0.6984
"Acropora_loisetteae","Porites_horizontalata",0.5605
"Acropora_loisetteae","Turbinaria_reniformis",0.5073
"Acropora_muricata","Anacropora_matthai",0.4029
"Acropora_muricata","Echinophyllia_echinata",0.083
"Acropora_muricata","Leptoseris_incrustans",0.2602
"Acropora_muricata","Madracis_kirbyi",0.2556
"Acropora_muricata","Pavona_duerdeni",0.4813
"Acropora_muricata","Porites_horizontalata",0.3382
"Acropora_muricata","Turbinaria_reniformis",0.2921
"Anacropora_matthai","Echinophyllia_echinata",0.0512
"Anacropora_matthai","Leptoseris_incrustans",0.1732
"Anacropora_matthai","Madracis_kirbyi",0.1698
"Anacropora_matthai","Pavona_duerdeni",0.3559
"Anacropora_matthai","Porites_horizontalata",0.2334
"Anacropora_matthai","Turbinaria_reniformis",0.1973
"Echinophyllia_echinata","Leptoseris_incrustans",0.6094
"Echinophyllia_echinata","Madracis_kirbyi",0.6038
"Echinophyllia_echinata","Pavona_duerdeni",0.8046
"Echinophyllia_echinata","Porites_horizontalata",0.694
"Echinophyllia_echinata","Turbinaria_reniformis",0.6468
"Leptoseris_incrustans","Madracis_kirbyi",0.2818
"Leptoseris_incrustans","Pavona_duerdeni",0.5146
"Leptoseris_incrustans","Porites_horizontalata",0.3687
"Leptoseris_incrustans","Turbinaria_reniformis",0.3204
"Madracis_kirbyi","Pavona_duerdeni",0.5205
"Madracis_kirbyi","Porites_horizontalata",0.3742
"Madracis_kirbyi","Turbinaria_reniformis",0.3256
"Pavona_duerdeni","Porites_horizontalata",0.1812
"Pavona_duerdeni","Turbinaria_reniformis",0.1516
"Porites_horizontalata","Turbinaria_reniformis",0.245
