"species1","species2","prob.species1.wins"
"Echinopora_irregularis","Goniopora_djiboutiensis",0.7061
"Echinopora_irregularis","Goniopora_planulata",0.8356
"Echinopora_irregularis","Hydnophora_pilosa",0.6055
"Echinopora_irregularis","Montipora_delicatula",0.9676
"Echinopora_irregularis","Montipora_palawanensis",0.9637
"Echinopora_irregularis","Pavona_danai",0.8657
"Echinopora_irregularis","Pocillopora_inflata",0.794
"Goniopora_djiboutiensis","Goniopora_planulata",0.4595
"Goniopora_djiboutiensis","Hydnophora_pilosa",0.2043
"Goniopora_djiboutiensis","Montipora_delicatula",0.8334
"Goniopora_djiboutiensis","Montipora_palawanensis",0.8164
"Goniopora_djiboutiensis","Pavona_danai",0.5188
"Goniopora_djiboutiensis","Pocillopora_inflata",0.3921
"Goniopora_planulata","Hydnophora_pilosa",0.1082
"Goniopora_planulata","Montipora_delicatula",0.7028
"Goniopora_planulata","Montipora_palawanensis",0.6775
"Goniopora_planulata","Pavona_danai",0.3375
"Goniopora_planulata","Pocillopora_inflata",0.2336
"Hydnophora_pilosa","Montipora_delicatula",0.8867
"Hydnophora_pilosa","Montipora_palawanensis",0.8743
"Hydnophora_pilosa","Pavona_danai",0.6278
"Hydnophora_pilosa","Pocillopora_inflata",0.5023
"Montipora_delicatula","Montipora_palawanensis",0.2631
"Montipora_delicatula","Pavona_danai",0.0797
"Montipora_delicatula","Pocillopora_inflata",0.0492
"Montipora_palawanensis","Pavona_danai",0.0888
"Montipora_palawanensis","Pocillopora_inflata",0.0551
"Pavona_danai","Pocillopora_inflata",0.1938
