"species1","species2","prob.species1.wins"
"Porites_flavus","Seriatopora_aculeata",0.8447
"Porites_flavus","Seriatopora_dentritica",0.8037
"Porites_flavus","Seriatopora_guttata",0.7457
"Porites_flavus","Seriatopora_stellata",0.8818
"Porites_flavus","Stylophora_kuehlmanni",0.5758
"Porites_flavus","Stylophora_madagascarensis",0.1536
"Porites_flavus","Stylophora_subseriata",0.782
"Porites_flavus","Stylophora_wellsi",0.6135
"Seriatopora_aculeata","Seriatopora_dentritica",0.2322
"Seriatopora_aculeata","Seriatopora_guttata",0.178
"Seriatopora_aculeata","Seriatopora_stellata",0.3552
"Seriatopora_aculeata","Stylophora_kuehlmanni",0.0911
"Seriatopora_aculeata","Stylophora_madagascarensis",0.0132
"Seriatopora_aculeata","Stylophora_subseriata",0.2095
"Seriatopora_aculeata","Stylophora_wellsi",0.105
"Seriatopora_dentritica","Seriatopora_guttata",0.2235
"Seriatopora_dentritica","Seriatopora_stellata",0.4226
"Seriatopora_dentritica","Stylophora_kuehlmanni",0.1176
"Seriatopora_dentritica","Stylophora_madagascarensis",0.0175
"Seriatopora_dentritica","Stylophora_subseriata",0.2604
"Seriatopora_dentritica","Stylophora_wellsi",0.1348
"Seriatopora_guttata","Seriatopora_stellata",0.5054
"Seriatopora_guttata","Stylophora_kuehlmanni",0.1568
"Seriatopora_guttata","Stylophora_madagascarensis",0.0243
"Seriatopora_guttata","Stylophora_subseriata",0.3296
"Seriatopora_guttata","Stylophora_wellsi",0.1787
"Seriatopora_stellata","Stylophora_kuehlmanni",0.0682
"Seriatopora_stellata","Stylophora_madagascarensis",0.0097
"Seriatopora_stellata","Stylophora_subseriata",0.162
"Seriatopora_stellata","Stylophora_wellsi",0.0788
"Stylophora_kuehlmanni","Stylophora_madagascarensis",0.051
"Stylophora_kuehlmanni","Stylophora_subseriata",0.5151
"Stylophora_kuehlmanni","Stylophora_wellsi",0.3197
"Stylophora_madagascarensis","Stylophora_subseriata",0.8882
"Stylophora_madagascarensis","Stylophora_wellsi",0.7786
"Stylophora_subseriata","Stylophora_wellsi",0.1509
