"species1","species2","prob.species1.wins"
"Acropora_abrotanoides","Acropora_batunai",0.3027
"Acropora_abrotanoides","Acropora_divaricata",0.193
"Acropora_abrotanoides","Acropora_donei",0.1795
"Acropora_abrotanoides","Acropora_elegantula",0.0038
"Acropora_abrotanoides","Acropora_kosurini",0.1138
"Acropora_abrotanoides","Acropora_roseni",0.0382
"Acropora_abrotanoides","Oculina_varicosa",0.0074
"Acropora_batunai","Acropora_divaricata",0.1813
"Acropora_batunai","Acropora_donei",0.1685
"Acropora_batunai","Acropora_elegantula",0.0035
"Acropora_batunai","Acropora_kosurini",0.1062
"Acropora_batunai","Acropora_roseni",0.0355
"Acropora_batunai","Oculina_varicosa",0.0069
"Acropora_divaricata","Acropora_donei",0.2688
"Acropora_divaricata","Acropora_elegantula",0.0064
"Acropora_divaricata","Acropora_kosurini",0.1774
"Acropora_divaricata","Acropora_roseni",0.0626
"Acropora_divaricata","Oculina_varicosa",0.0124
"Acropora_donei","Acropora_elegantula",0.0069
"Acropora_donei","Acropora_kosurini",0.1908
"Acropora_donei","Acropora_roseni",0.068
"Acropora_donei","Oculina_varicosa",0.0136
"Acropora_elegantula","Acropora_kosurini",0.9312
"Acropora_elegantula","Acropora_roseni",0.8074
"Acropora_elegantula","Oculina_varicosa",0.4414
"Acropora_kosurini","Acropora_roseni",0.1106
"Acropora_kosurini","Oculina_varicosa",0.0229
"Acropora_roseni","Oculina_varicosa",0.0704
