"species1","species2","prob.species1.wins"
"Acropora_polystoma","Balanophyllia_europaea",8e-04
"Acropora_polystoma","Cyphastrea_ocellina",0.1772
"Acropora_polystoma","Euphyllia_paraglabrescens",3e-04
"Acropora_polystoma","Favites_abdita",0.0163
"Acropora_polystoma","Madracis_formosa",0.102
"Acropora_polystoma","Montipora_patula",0.1439
"Acropora_polystoma","Porites_colonensis",0.0757
"Balanophyllia_europaea","Cyphastrea_ocellina",0.9905
"Balanophyllia_europaea","Euphyllia_paraglabrescens",0.1313
"Balanophyllia_europaea","Favites_abdita",0.8889
"Balanophyllia_europaea","Madracis_formosa",0.9821
"Balanophyllia_europaea","Montipora_patula",0.9878
"Balanophyllia_europaea","Porites_colonensis",0.9754
"Cyphastrea_ocellina","Euphyllia_paraglabrescens",6e-04
"Cyphastrea_ocellina","Favites_abdita",0.03
"Cyphastrea_ocellina","Madracis_formosa",0.1749
"Cyphastrea_ocellina","Montipora_patula",0.2386
"Cyphastrea_ocellina","Porites_colonensis",0.1326
"Euphyllia_paraglabrescens","Favites_abdita",0.9551
"Euphyllia_paraglabrescens","Madracis_formosa",0.9932
"Euphyllia_paraglabrescens","Montipora_patula",0.9954
"Euphyllia_paraglabrescens","Porites_colonensis",0.9906
"Favites_abdita","Madracis_formosa",0.7338
"Favites_abdita","Montipora_patula",0.803
"Favites_abdita","Porites_colonensis",0.6653
"Madracis_formosa","Montipora_patula",0.3727
"Madracis_formosa","Porites_colonensis",0.2246
"Montipora_patula","Porites_colonensis",0.1638
