"species1","species2","prob.species1.wins"
"Catalaphyllia_jardinei","Caulastraea_echinulata",0.2932
"Catalaphyllia_jardinei","Goniopora_paliformis",0.7034
"Catalaphyllia_jardinei","Mussismilia_harttii",0.0274
"Catalaphyllia_jardinei","Paramontastraea_serageldini",0.4246
"Catalaphyllia_jardinei","Platygyra_crosslandi",0.3882
"Catalaphyllia_jardinei","Podabacia_lankaensis",0.1807
"Catalaphyllia_jardinei","Siderastrea_savignyana",0.7821
"Catalaphyllia_jardinei","Symphyllia_recta",0.2872
"Caulastraea_echinulata","Goniopora_paliformis",0.6968
"Caulastraea_echinulata","Mussismilia_harttii",0.0266
"Caulastraea_echinulata","Paramontastraea_serageldini",0.4169
"Caulastraea_echinulata","Platygyra_crosslandi",0.3807
"Caulastraea_echinulata","Podabacia_lankaensis",0.1761
"Caulastraea_echinulata","Siderastrea_savignyana",0.7767
"Caulastraea_echinulata","Symphyllia_recta",0.2808
"Goniopora_paliformis","Mussismilia_harttii",0.0048
"Goniopora_paliformis","Paramontastraea_serageldini",0.1111
"Goniopora_paliformis","Platygyra_crosslandi",0.0971
"Goniopora_paliformis","Podabacia_lankaensis",0.036
"Goniopora_paliformis","Siderastrea_savignyana",0.3782
"Goniopora_paliformis","Symphyllia_recta",0.0639
"Mussismilia_harttii","Paramontastraea_serageldini",0.9131
"Mussismilia_harttii","Platygyra_crosslandi",0.9004
"Mussismilia_harttii","Podabacia_lankaensis",0.7586
"Mussismilia_harttii","Siderastrea_savignyana",0.9808
"Mussismilia_harttii","Symphyllia_recta",0.8516
"Paramontastraea_serageldini","Platygyra_crosslandi",0.2567
"Paramontastraea_serageldini","Podabacia_lankaensis",0.1072
"Paramontastraea_serageldini","Siderastrea_savignyana",0.6615
"Paramontastraea_serageldini","Symphyllia_recta",0.1799
"Platygyra_crosslandi","Podabacia_lankaensis",0.1226
"Platygyra_crosslandi","Siderastrea_savignyana",0.6945
"Platygyra_crosslandi","Symphyllia_recta",0.2033
"Podabacia_lankaensis","Siderastrea_savignyana",0.8674
"Podabacia_lankaensis","Symphyllia_recta",0.4233
"Siderastrea_savignyana","Symphyllia_recta",0.0432
