"species1","species2","prob.species1.wins"
"Acropora_listeri","Acropora_minuta",0.1636
"Acropora_listeri","Acropora_sarmentosa",0.1055
"Acropora_listeri","Goniastrea_ramosa",0.0241
"Acropora_listeri","Montipora_floweri",0.5039
"Acropora_listeri","Montipora_kellyi",0.0082
"Acropora_listeri","Montipora_niugini",0.318
"Acropora_minuta","Acropora_sarmentosa",0.1951
"Acropora_minuta","Goniastrea_ramosa",0.0483
"Acropora_minuta","Montipora_floweri",0.676
"Acropora_minuta","Montipora_kellyi",0.0166
"Acropora_minuta","Montipora_niugini",0.4893
"Acropora_sarmentosa","Goniastrea_ramosa",0.0777
"Acropora_sarmentosa","Montipora_floweri",0.7758
"Acropora_sarmentosa","Montipora_kellyi",0.0273
"Acropora_sarmentosa","Montipora_niugini",0.6137
"Goniastrea_ramosa","Montipora_floweri",0.9429
"Goniastrea_ramosa","Montipora_kellyi",0.1179
"Goniastrea_ramosa","Montipora_niugini",0.8834
"Montipora_floweri","Montipora_kellyi",0.0032
"Montipora_floweri","Montipora_niugini",0.1557
"Montipora_kellyi","Montipora_niugini",0.958
