"species1","species2","prob.species1.wins"
"Acropora_cerealis","Acropora_polystoma",0.2363
"Acropora_cerealis","Caulastraea_furcata",0.011
"Acropora_cerealis","Cycloseris_mokai",0.041
"Acropora_cerealis","Cyphastrea_agassizi",0.1802
"Acropora_cerealis","Danafungia_horrida",4e-04
"Acropora_cerealis","Dendrogyra_cylindrus",0.0242
"Acropora_cerealis","Favites_abdita",0.0126
"Acropora_cerealis","Turbinaria_heronensis",0.0383
"Acropora_polystoma","Caulastraea_furcata",0.0142
"Acropora_polystoma","Cycloseris_mokai",0.0526
"Acropora_polystoma","Cyphastrea_agassizi",0.2221
"Acropora_polystoma","Danafungia_horrida",5e-04
"Acropora_polystoma","Dendrogyra_cylindrus",0.0312
"Acropora_polystoma","Favites_abdita",0.0163
"Acropora_polystoma","Turbinaria_heronensis",0.0492
"Caulastraea_furcata","Cycloseris_mokai",0.6082
"Caulastraea_furcata","Cyphastrea_agassizi",0.8886
"Caulastraea_furcata","Danafungia_horrida",0.0132
"Caulastraea_furcata","Dendrogyra_cylindrus",0.4736
"Caulastraea_furcata","Favites_abdita",0.3164
"Caulastraea_furcata","Turbinaria_heronensis",0.5912
"Cycloseris_mokai","Cyphastrea_agassizi",0.6736
"Cycloseris_mokai","Danafungia_horrida",0.0035
"Cycloseris_mokai","Dendrogyra_cylindrus",0.1889
"Cycloseris_mokai","Favites_abdita",0.107
"Cycloseris_mokai","Turbinaria_heronensis",0.2723
"Cyphastrea_agassizi","Danafungia_horrida",7e-04
"Cyphastrea_agassizi","Dendrogyra_cylindrus",0.0434
"Cyphastrea_agassizi","Favites_abdita",0.0228
"Cyphastrea_agassizi","Turbinaria_heronensis",0.0679
"Danafungia_horrida","Dendrogyra_cylindrus",0.9643
"Danafungia_horrida","Favites_abdita",0.9328
"Danafungia_horrida","Turbinaria_heronensis",0.9775
"Dendrogyra_cylindrus","Favites_abdita",0.1713
"Dendrogyra_cylindrus","Turbinaria_heronensis",0.3924
"Favites_abdita","Turbinaria_heronensis",0.5567
