"species1","species2","prob.species1.wins"
"Alveopora_excelsa","Anomastraea_irregularis",0.1106
"Alveopora_excelsa","Echinophyllia_costata",0.0778
"Alveopora_excelsa","Hydnophora_bonsai",0.0335
"Alveopora_excelsa","Mycedium_robokaki",0.0442
"Alveopora_excelsa","Mycedium_steeni",0.148
"Alveopora_excelsa","Pectinia_maxima",0.0271
"Alveopora_excelsa","Scapophyllia_cylindrica",0.2649
"Anomastraea_irregularis","Echinophyllia_costata",0.2143
"Anomastraea_irregularis","Hydnophora_bonsai",0.1006
"Anomastraea_irregularis","Mycedium_robokaki",0.13
"Anomastraea_irregularis","Mycedium_steeni",0.3597
"Anomastraea_irregularis","Pectinia_maxima",0.0825
"Anomastraea_irregularis","Scapophyllia_cylindrica",0.5381
"Echinophyllia_costata","Hydnophora_bonsai",0.1415
"Echinophyllia_costata","Mycedium_robokaki",0.1804
"Echinophyllia_costata","Mycedium_steeni",0.4528
"Echinophyllia_costata","Pectinia_maxima",0.117
"Echinophyllia_costata","Scapophyllia_cylindrica",0.6318
"Hydnophora_bonsai","Mycedium_robokaki",0.3492
"Hydnophora_bonsai","Mycedium_steeni",0.6686
"Hydnophora_bonsai","Pectinia_maxima",0.2442
"Hydnophora_bonsai","Scapophyllia_cylindrica",0.8071
"Mycedium_robokaki","Mycedium_steeni",0.6017
"Mycedium_robokaki","Pectinia_maxima",0.1948
"Mycedium_robokaki","Scapophyllia_cylindrica",0.7581
"Mycedium_steeni","Pectinia_maxima",0.0605
"Mycedium_steeni","Scapophyllia_cylindrica",0.4545
"Pectinia_maxima","Scapophyllia_cylindrica",0.8388
