"species1","species2","prob.species1.wins"
"Coscinaraea_crassa","Danafungia_scruposa",0.0142
"Coscinaraea_crassa","Euphyllia_ancora",0.0274
"Coscinaraea_crassa","Favites_colemani",0.3042
"Coscinaraea_crassa","Halomitra_clavator",0.3633
"Coscinaraea_crassa","Lithophyllon_scabra",0.0154
"Coscinaraea_crassa","Montipora_cryptus",0.6585
"Coscinaraea_crassa","Pectinia_lactuca",0.0815
"Coscinaraea_crassa","Psammocora_haimiana",0.5041
"Danafungia_scruposa","Euphyllia_ancora",0.4396
"Danafungia_scruposa","Favites_colemani",0.9241
"Danafungia_scruposa","Halomitra_clavator",0.9408
"Danafungia_scruposa","Lithophyllon_scabra",0.3033
"Danafungia_scruposa","Montipora_cryptus",0.9817
"Danafungia_scruposa","Pectinia_lactuca",0.7117
"Danafungia_scruposa","Psammocora_haimiana",0.9659
"Euphyllia_ancora","Favites_colemani",0.8617
"Euphyllia_ancora","Halomitra_clavator",0.8906
"Euphyllia_ancora","Lithophyllon_scabra",0.1823
"Euphyllia_ancora","Montipora_cryptus",0.9649
"Euphyllia_ancora","Pectinia_lactuca",0.5584
"Euphyllia_ancora","Psammocora_haimiana",0.9355
"Favites_colemani","Halomitra_clavator",0.3441
"Favites_colemani","Lithophyllon_scabra",0.0142
"Favites_colemani","Montipora_cryptus",0.6393
"Favites_colemani","Pectinia_lactuca",0.0754
"Favites_colemani","Psammocora_haimiana",0.483
"Halomitra_clavator","Lithophyllon_scabra",0.0109
"Halomitra_clavator","Montipora_cryptus",0.5758
"Halomitra_clavator","Pectinia_lactuca",0.0588
"Halomitra_clavator","Psammocora_haimiana",0.4171
"Lithophyllon_scabra","Montipora_cryptus",0.9802
"Lithophyllon_scabra","Pectinia_lactuca",0.695
"Lithophyllon_scabra","Psammocora_haimiana",0.9631
"Montipora_cryptus","Pectinia_lactuca",0.0181
"Montipora_cryptus","Psammocora_haimiana",0.1748
"Pectinia_lactuca","Psammocora_haimiana",0.8216
