"species1","species2","prob.species1.wins"
"Acropora_cytherea","Acropora_natalensis",0.1047
"Acropora_cytherea","Acropora_pulchra",0.3117
"Acropora_cytherea","Acropora_solitaryensis",0.3277
"Acropora_cytherea","Cladocora_arbuscula",0.0142
"Acropora_cytherea","Montipora_digitata",0.2268
"Acropora_cytherea","Montipora_hirsuta",0.1843
"Acropora_cytherea","Pocillopora_capitata",0.55
"Acropora_natalensis","Acropora_pulchra",0.6087
"Acropora_natalensis","Acropora_solitaryensis",0.6261
"Acropora_natalensis","Cladocora_arbuscula",0.0472
"Acropora_natalensis","Montipora_digitata",0.5019
"Acropora_natalensis","Montipora_hirsuta",0.437
"Acropora_natalensis","Pocillopora_capitata",0.8077
"Acropora_pulchra","Acropora_solitaryensis",0.3019
"Acropora_pulchra","Cladocora_arbuscula",0.0126
"Acropora_pulchra","Montipora_digitata",0.2065
"Acropora_pulchra","Montipora_hirsuta",0.167
"Acropora_pulchra","Pocillopora_capitata",0.5203
"Acropora_solitaryensis","Cladocora_arbuscula",0.0118
"Acropora_solitaryensis","Montipora_digitata",0.1948
"Acropora_solitaryensis","Montipora_hirsuta",0.157
"Acropora_solitaryensis","Pocillopora_capitata",0.5019
"Cladocora_arbuscula","Montipora_digitata",0.8909
"Cladocora_arbuscula","Montipora_hirsuta",0.8628
"Cladocora_arbuscula","Pocillopora_capitata",0.9714
"Montipora_digitata","Montipora_hirsuta",0.2364
"Montipora_digitata","Pocillopora_capitata",0.626
"Montipora_hirsuta","Pocillopora_capitata",0.6849
