"species1","species2","prob.species1.wins"
"Acropora_millepora","Acropora_sarmentosa",0.2263
"Acropora_millepora","Caulastraea_furcata",0.0314
"Acropora_millepora","Cyphastrea_chalcidicum",0.2339
"Acropora_millepora","Favites_colemani",0.0663
"Acropora_millepora","Montipora_turtlensis",0.5475
"Acropora_millepora","Orbicella_annularis",0.0401
"Acropora_millepora","Pavona_frondifera",0.2065
"Acropora_millepora","Porites_cocosensis",0.1186
"Acropora_sarmentosa","Caulastraea_furcata",0.0426
"Acropora_sarmentosa","Cyphastrea_chalcidicum",0.2954
"Acropora_sarmentosa","Favites_colemani",0.0888
"Acropora_sarmentosa","Montipora_turtlensis",0.6243
"Acropora_sarmentosa","Orbicella_annularis",0.0542
"Acropora_sarmentosa","Pavona_frondifera",0.2634
"Acropora_sarmentosa","Porites_cocosensis",0.156
"Caulastraea_furcata","Cyphastrea_chalcidicum",0.7913
"Caulastraea_furcata","Favites_colemani",0.4685
"Caulastraea_furcata","Montipora_turtlensis",0.9376
"Caulastraea_furcata","Orbicella_annularis",0.3414
"Caulastraea_furcata","Pavona_frondifera",0.7637
"Caulastraea_furcata","Porites_cocosensis",0.6255
"Cyphastrea_chalcidicum","Favites_colemani",0.0854
"Cyphastrea_chalcidicum","Montipora_turtlensis",0.6142
"Cyphastrea_chalcidicum","Orbicella_annularis",0.0521
"Cyphastrea_chalcidicum","Pavona_frondifera",0.2552
"Cyphastrea_chalcidicum","Porites_cocosensis",0.1504
"Favites_colemani","Montipora_turtlensis",0.8726
"Favites_colemani","Orbicella_annularis",0.1912
"Favites_colemani","Pavona_frondifera",0.5957
"Favites_colemani","Porites_cocosensis",0.4323
"Montipora_turtlensis","Orbicella_annularis",0.0137
"Montipora_turtlensis","Pavona_frondifera",0.0796
"Montipora_turtlensis","Porites_cocosensis",0.0428
"Orbicella_annularis","Pavona_frondifera",0.7147
"Orbicella_annularis","Porites_cocosensis",0.5642
"Pavona_frondifera","Porites_cocosensis",0.172
