"species1","species2","prob.species1.wins"
"Acropora_branchi","Acropora_filiformis",0.0543
"Acropora_branchi","Acropora_hyacinthus",0.6659
"Acropora_branchi","Acropora_japonica",0.1828
"Acropora_branchi","Montipora_verrucosa",0.8562
"Acropora_branchi","Platygyra_verweyi",0.312
"Acropora_branchi","Platygyra_yaeyamaensis",0.2441
"Acropora_branchi","Porites_attenuata",0.2527
"Acropora_filiformis","Acropora_hyacinthus",0.9331
"Acropora_filiformis","Acropora_japonica",0.6102
"Acropora_filiformis","Montipora_verrucosa",0.9766
"Acropora_filiformis","Platygyra_verweyi",0.7604
"Acropora_filiformis","Platygyra_yaeyamaensis",0.6933
"Acropora_filiformis","Porites_attenuata",0.703
"Acropora_hyacinthus","Acropora_japonica",0.0431
"Acropora_hyacinthus","Montipora_verrucosa",0.5455
"Acropora_hyacinthus","Platygyra_verweyi",0.0838
"Acropora_hyacinthus","Platygyra_yaeyamaensis",0.0611
"Acropora_hyacinthus","Porites_attenuata",0.0638
"Acropora_japonica","Montipora_verrucosa",0.9145
"Acropora_japonica","Platygyra_verweyi",0.4489
"Acropora_japonica","Platygyra_yaeyamaensis",0.3671
"Acropora_japonica","Porites_attenuata",0.3779
"Montipora_verrucosa","Platygyra_verweyi",0.0297
"Montipora_verrucosa","Platygyra_yaeyamaensis",0.0213
"Montipora_verrucosa","Porites_attenuata",0.0223
"Platygyra_verweyi","Platygyra_yaeyamaensis",0.2225
"Platygyra_verweyi","Porites_attenuata",0.2306
"Platygyra_yaeyamaensis","Porites_attenuata",0.2962
