"species1","species2","prob.species1.wins"
"Acropora_lianae","Acropora_muricata",0.4058
"Acropora_lianae","Alveopora_allingi",0.3648
"Acropora_lianae","Homophyllia_australis",0.0032
"Acropora_lianae","Isophyllia_sinuosa",0.0138
"Acropora_lianae","Isopora_elizabethensis",0.0362
"Acropora_lianae","Lithophyllon_spinifer",0.0012
"Acropora_lianae","Madracis_asanoi",0.0293
"Acropora_muricata","Alveopora_allingi",0.2526
"Acropora_muricata","Homophyllia_australis",0.0019
"Acropora_muricata","Isophyllia_sinuosa",0.0082
"Acropora_muricata","Isopora_elizabethensis",0.0216
"Acropora_muricata","Lithophyllon_spinifer",7e-04
"Acropora_muricata","Madracis_asanoi",0.0175
"Alveopora_allingi","Homophyllia_australis",0.0023
"Alveopora_allingi","Isophyllia_sinuosa",0.0097
"Alveopora_allingi","Isopora_elizabethensis",0.0256
"Alveopora_allingi","Lithophyllon_spinifer",8e-04
"Alveopora_allingi","Madracis_asanoi",0.0207
"Homophyllia_australis","Isophyllia_sinuosa",0.6347
"Homophyllia_australis","Isopora_elizabethensis",0.823
"Homophyllia_australis","Lithophyllon_spinifer",0.1284
"Homophyllia_australis","Madracis_asanoi",0.789
"Isophyllia_sinuosa","Isopora_elizabethensis",0.5182
"Isophyllia_sinuosa","Lithophyllon_spinifer",0.0329
"Isophyllia_sinuosa","Madracis_asanoi",0.4638
"Isopora_elizabethensis","Lithophyllon_spinifer",0.0126
"Isopora_elizabethensis","Madracis_asanoi",0.2442
"Lithophyllon_spinifer","Madracis_asanoi",0.9107
