"species1","species2","prob.species1.wins"
"Acropora_longicyathus","Alveopora_verrilliana",0.4666
"Acropora_longicyathus","Galaxea_horrescens",0.0941
"Acropora_longicyathus","Madracis_formosa",0.218
"Acropora_longicyathus","Montipora_kellyi",0.0218
"Acropora_longicyathus","Mycetophyllia_reesi",0.0303
"Acropora_longicyathus","Oulophyllia_crispa",0.0948
"Acropora_longicyathus","Porites_colonensis",0.1673
"Acropora_longicyathus","Seriatopora_guttata",0.3788
"Alveopora_verrilliana","Galaxea_horrescens",0.0456
"Alveopora_verrilliana","Madracis_formosa",0.1135
"Alveopora_verrilliana","Montipora_kellyi",0.0101
"Alveopora_verrilliana","Mycetophyllia_reesi",0.0141
"Alveopora_verrilliana","Oulophyllia_crispa",0.0459
"Alveopora_verrilliana","Porites_colonensis",0.0845
"Alveopora_verrilliana","Seriatopora_guttata",0.2188
"Galaxea_horrescens","Madracis_formosa",0.5187
"Galaxea_horrescens","Montipora_kellyi",0.0792
"Galaxea_horrescens","Mycetophyllia_reesi",0.1077
"Galaxea_horrescens","Oulophyllia_crispa",0.2882
"Galaxea_horrescens","Porites_colonensis",0.4372
"Galaxea_horrescens","Seriatopora_guttata",0.7022
"Madracis_formosa","Montipora_kellyi",0.0311
"Madracis_formosa","Mycetophyllia_reesi",0.043
"Madracis_formosa","Oulophyllia_crispa",0.1312
"Madracis_formosa","Porites_colonensis",0.2246
"Madracis_formosa","Seriatopora_guttata",0.4678
"Montipora_kellyi","Mycetophyllia_reesi",0.3606
"Montipora_kellyi","Oulophyllia_crispa",0.6543
"Montipora_kellyi","Porites_colonensis",0.7841
"Montipora_kellyi","Seriatopora_guttata",0.9168
"Mycetophyllia_reesi","Oulophyllia_crispa",0.5742
"Mycetophyllia_reesi","Porites_colonensis",0.7213
"Mycetophyllia_reesi","Seriatopora_guttata",0.887
"Oulophyllia_crispa","Porites_colonensis",0.4354
"Oulophyllia_crispa","Seriatopora_guttata",0.7006
"Porites_colonensis","Seriatopora_guttata",0.5494
