"species1","species2","prob.species1.wins"
"Echinophyllia_patula","Hydnophora_grandis",0.5017
"Echinophyllia_patula","Montipora_palawanensis",0.8597
"Echinophyllia_patula","Montipora_verrucosa",0.8921
"Echinophyllia_patula","Oxypora_glabra",0.1935
"Echinophyllia_patula","Pocillopora_fungiformis",0.4728
"Echinophyllia_patula","Porites_arnaudi",0.7261
"Hydnophora_grandis","Montipora_palawanensis",0.7097
"Hydnophora_grandis","Montipora_verrucosa",0.7674
"Hydnophora_grandis","Oxypora_glabra",0.0874
"Hydnophora_grandis","Pocillopora_fungiformis",0.2635
"Hydnophora_grandis","Porites_arnaudi",0.514
"Montipora_palawanensis","Montipora_verrucosa",0.3516
"Montipora_palawanensis","Oxypora_glabra",0.0155
"Montipora_palawanensis","Pocillopora_fungiformis",0.0555
"Montipora_palawanensis","Porites_arnaudi",0.1481
"Montipora_verrucosa","Oxypora_glabra",0.0115
"Montipora_verrucosa","Pocillopora_fungiformis",0.0418
"Montipora_verrucosa","Porites_arnaudi",0.1141
"Oxypora_glabra","Pocillopora_fungiformis",0.6004
"Oxypora_glabra","Porites_arnaudi",0.8162
"Pocillopora_fungiformis","Porites_arnaudi",0.5429
