"species1","species2","prob.species1.wins"
"Acanthastrea_rotundoflora","Coelastrea_aspera",0.4053
"Acanthastrea_rotundoflora","Diploastrea_heliopora",0.4555
"Acanthastrea_rotundoflora","Favites_magnistellata",0.41
"Acanthastrea_rotundoflora","Goniastrea_pectinata",0.1917
"Acanthastrea_rotundoflora","Homophyllia_bowerbanki",0.1332
"Acanthastrea_rotundoflora","Lobophyllia_dentata",0.0611
"Acanthastrea_rotundoflora","Lobophyllia_hataii",0.0728
"Acanthastrea_rotundoflora","Platygyra_sinensis",0.5852
"Coelastrea_aspera","Diploastrea_heliopora",0.3303
"Coelastrea_aspera","Favites_magnistellata",0.2907
"Coelastrea_aspera","Goniastrea_pectinata",0.1227
"Coelastrea_aspera","Homophyllia_bowerbanki",0.0831
"Coelastrea_aspera","Lobophyllia_dentata",0.037
"Coelastrea_aspera","Lobophyllia_hataii",0.0443
"Coelastrea_aspera","Platygyra_sinensis",0.4541
"Diploastrea_heliopora","Favites_magnistellata",0.2503
"Diploastrea_heliopora","Goniastrea_pectinata",0.1023
"Diploastrea_heliopora","Homophyllia_bowerbanki",0.0687
"Diploastrea_heliopora","Lobophyllia_dentata",0.0303
"Diploastrea_heliopora","Lobophyllia_hataii",0.0364
"Diploastrea_heliopora","Platygyra_sinensis",0.4039
"Favites_magnistellata","Goniastrea_pectinata",0.1206
"Favites_magnistellata","Homophyllia_bowerbanki",0.0816
"Favites_magnistellata","Lobophyllia_dentata",0.0363
"Favites_magnistellata","Lobophyllia_hataii",0.0434
"Favites_magnistellata","Platygyra_sinensis",0.4492
"Goniastrea_pectinata","Homophyllia_bowerbanki",0.2065
"Goniastrea_pectinata","Lobophyllia_dentata",0.0993
"Goniastrea_pectinata","Lobophyllia_hataii",0.1175
"Goniastrea_pectinata","Platygyra_sinensis",0.7051
"Homophyllia_bowerbanki","Lobophyllia_dentata",0.1455
"Homophyllia_bowerbanki","Lobophyllia_hataii",0.1704
"Homophyllia_bowerbanki","Platygyra_sinensis",0.7868
"Lobophyllia_dentata","Lobophyllia_hataii",0.3265
"Lobophyllia_dentata","Platygyra_sinensis",0.897
"Lobophyllia_hataii","Platygyra_sinensis",0.8783
