"species1","species2","prob.species1.wins"
"Acropora_aculeus","Acropora_latistella",0.2177
"Acropora_aculeus","Alveopora_spongiosa",0.2568
"Acropora_aculeus","Cyphastrea_hexasepta",0.0449
"Acropora_aculeus","Dendrogyra_cylindrus",0.0176
"Acropora_aculeus","Merulina_scheeri",0.0016
"Acropora_aculeus","Montipora_meandrina",0.1091
"Acropora_aculeus","Montipora_niugini",0.2223
"Acropora_aculeus","Pavona_maldivensis",0.0523
"Acropora_latistella","Alveopora_spongiosa",0.3329
"Acropora_latistella","Cyphastrea_hexasepta",0.0636
"Acropora_latistella","Dendrogyra_cylindrus",0.0252
"Acropora_latistella","Merulina_scheeri",0.0023
"Acropora_latistella","Montipora_meandrina",0.1503
"Acropora_latistella","Montipora_niugini",0.2922
"Acropora_latistella","Pavona_maldivensis",0.0738
"Alveopora_spongiosa","Cyphastrea_hexasepta",0.0519
"Alveopora_spongiosa","Dendrogyra_cylindrus",0.0204
"Alveopora_spongiosa","Merulina_scheeri",0.0018
"Alveopora_spongiosa","Montipora_meandrina",0.1247
"Alveopora_spongiosa","Montipora_niugini",0.2495
"Alveopora_spongiosa","Pavona_maldivensis",0.0603
"Cyphastrea_hexasepta","Dendrogyra_cylindrus",0.1326
"Cyphastrea_hexasepta","Merulina_scheeri",0.0134
"Cyphastrea_hexasepta","Montipora_meandrina",0.5112
"Cyphastrea_hexasepta","Montipora_niugini",0.7094
"Cyphastrea_hexasepta","Pavona_maldivensis",0.3202
"Dendrogyra_cylindrus","Merulina_scheeri",0.0344
"Dendrogyra_cylindrus","Montipora_meandrina",0.7332
"Dendrogyra_cylindrus","Montipora_niugini",0.8651
"Dendrogyra_cylindrus","Pavona_maldivensis",0.5531
"Merulina_scheeri","Montipora_meandrina",0.9687
"Merulina_scheeri","Montipora_niugini",0.9863
"Merulina_scheeri","Pavona_maldivensis",0.9331
"Montipora_meandrina","Montipora_niugini",0.4839
"Montipora_meandrina","Pavona_maldivensis",0.1532
"Montipora_niugini","Pavona_maldivensis",0.072
