"species1","species2","prob.species1.wins"
"Acropora_bushyensis","Dipsastraea_faviaformis",0.0314
"Acropora_bushyensis","Echinopora_mammiformis",0.0888
"Acropora_bushyensis","Montipora_circumvallata",0.4424
"Acropora_bushyensis","Paragoniastrea_australensis",0.0913
"Acropora_bushyensis","Pleuractis_granulosa",0.0035
"Acropora_bushyensis","Turbinaria_patula",0.3985
"Dipsastraea_faviaformis","Echinopora_mammiformis",0.5469
"Dipsastraea_faviaformis","Montipora_circumvallata",0.9076
"Dipsastraea_faviaformis","Paragoniastrea_australensis",0.5542
"Dipsastraea_faviaformis","Pleuractis_granulosa",0.042
"Dipsastraea_faviaformis","Turbinaria_patula",0.8913
"Echinopora_mammiformis","Montipora_circumvallata",0.7658
"Echinopora_mammiformis","Paragoniastrea_australensis",0.2927
"Echinopora_mammiformis","Pleuractis_granulosa",0.0144
"Echinopora_mammiformis","Turbinaria_patula",0.732
"Montipora_circumvallata","Paragoniastrea_australensis",0.0484
"Montipora_circumvallata","Pleuractis_granulosa",0.0018
"Montipora_circumvallata","Turbinaria_patula",0.2512
"Paragoniastrea_australensis","Pleuractis_granulosa",0.014
"Paragoniastrea_australensis","Turbinaria_patula",0.7261
"Pleuractis_granulosa","Turbinaria_patula",0.9869
