"species1","species2","prob.species1.wins"
"Acropora_granulosa","Acropora_polystoma",0.3247
"Acropora_granulosa","Cyphastrea_japonica",0.1818
"Acropora_granulosa","Echinophyllia_echinoporoides",0.0332
"Acropora_granulosa","Goniastrea_ramosa",0.0316
"Acropora_granulosa","Goniopora_columna",0.0972
"Acropora_granulosa","Oulophyllia_crispa",0.0486
"Acropora_granulosa","Physophyllia_ayleni",0.0192
"Acropora_polystoma","Cyphastrea_japonica",0.1566
"Acropora_polystoma","Echinophyllia_echinoporoides",0.0279
"Acropora_polystoma","Goniastrea_ramosa",0.0265
"Acropora_polystoma","Goniopora_columna",0.0826
"Acropora_polystoma","Oulophyllia_crispa",0.0409
"Acropora_polystoma","Physophyllia_ayleni",0.0161
"Cyphastrea_japonica","Echinophyllia_echinoporoides",0.0585
"Cyphastrea_japonica","Goniastrea_ramosa",0.0557
"Cyphastrea_japonica","Goniopora_columna",0.1629
"Cyphastrea_japonica","Oulophyllia_crispa",0.0846
"Cyphastrea_japonica","Physophyllia_ayleni",0.0342
"Echinophyllia_echinoporoides","Goniastrea_ramosa",0.2759
"Echinophyllia_echinoporoides","Goniopora_columna",0.5572
"Echinophyllia_echinoporoides","Oulophyllia_crispa",0.3739
"Echinophyllia_echinoporoides","Physophyllia_ayleni",0.1862
"Goniastrea_ramosa","Goniopora_columna",0.5702
"Goniastrea_ramosa","Oulophyllia_crispa",0.3863
"Goniastrea_ramosa","Physophyllia_ayleni",0.1944
"Goniopora_columna","Oulophyllia_crispa",0.1601
"Goniopora_columna","Physophyllia_ayleni",0.0681
"Oulophyllia_crispa","Physophyllia_ayleni",0.1334
