"species1","species2","prob.species1.wins"
"Astreopora_randalli","Goniopora_lobata",0.0467
"Astreopora_randalli","Montipora_cebuensis",0.4259
"Astreopora_randalli","Montipora_patula",0.1078
"Astreopora_randalli","Oxypora_lacera",0.0262
"Astreopora_randalli","Pectinia_alcicornis",0.008
"Astreopora_randalli","Platygyra_verweyi",0.0502
"Astreopora_randalli","Podabacia_sinai",0.0206
"Astreopora_randalli","Schizoculina_fissipara",0.0175
"Goniopora_lobata","Montipora_cebuensis",0.8588
"Goniopora_lobata","Montipora_patula",0.4977
"Goniopora_lobata","Oxypora_lacera",0.181
"Goniopora_lobata","Pectinia_alcicornis",0.0617
"Goniopora_lobata","Platygyra_verweyi",0.3025
"Goniopora_lobata","Podabacia_sinai",0.1469
"Goniopora_lobata","Schizoculina_fissipara",0.1275
"Montipora_cebuensis","Montipora_patula",0.0614
"Montipora_cebuensis","Oxypora_lacera",0.0144
"Montipora_cebuensis","Pectinia_alcicornis",0.0043
"Montipora_cebuensis","Platygyra_verweyi",0.0278
"Montipora_cebuensis","Podabacia_sinai",0.0112
"Montipora_cebuensis","Schizoculina_fissipara",0.0096
"Montipora_patula","Oxypora_lacera",0.0822
"Montipora_patula","Pectinia_alcicornis",0.026
"Montipora_patula","Platygyra_verweyi",0.1495
"Montipora_patula","Podabacia_sinai",0.0652
"Montipora_patula","Schizoculina_fissipara",0.0559
"Oxypora_lacera","Pectinia_alcicornis",0.1068
"Oxypora_lacera","Platygyra_verweyi",0.4408
"Oxypora_lacera","Podabacia_sinai",0.2384
"Oxypora_lacera","Schizoculina_fissipara",0.2099
"Pectinia_alcicornis","Platygyra_verweyi",0.726
"Pectinia_alcicornis","Podabacia_sinai",0.5126
"Pectinia_alcicornis","Schizoculina_fissipara",0.4717
"Platygyra_verweyi","Podabacia_sinai",0.1376
"Platygyra_verweyi","Schizoculina_fissipara",0.1193
"Podabacia_sinai","Schizoculina_fissipara",0.2544
