"species1","species2","prob.species1.wins"
"Acropora_minuta","Dipsastraea_laxa",0.1264
"Acropora_minuta","Euphyllia_paraancora",0.0115
"Acropora_minuta","Montipora_cactus",0.3694
"Acropora_minuta","Montipora_hodgsoni",0.6221
"Acropora_minuta","Montipora_porites",0.5091
"Acropora_minuta","Mussismilia_hispida",0.0017
"Acropora_minuta","Podabacia_sinai",0.0516
"Acropora_minuta","Scapophyllia_cylindrica",0.2071
"Dipsastraea_laxa","Euphyllia_paraancora",0.0312
"Dipsastraea_laxa","Montipora_cactus",0.6194
"Dipsastraea_laxa","Montipora_hodgsoni",0.8205
"Dipsastraea_laxa","Montipora_porites",0.7423
"Dipsastraea_laxa","Mussismilia_hispida",0.0048
"Dipsastraea_laxa","Podabacia_sinai",0.1313
"Dipsastraea_laxa","Scapophyllia_cylindrica",0.4204
"Euphyllia_paraancora","Montipora_cactus",0.953
"Euphyllia_paraancora","Montipora_hodgsoni",0.9828
"Euphyllia_paraancora","Montipora_porites",0.9729
"Euphyllia_paraancora","Mussismilia_hispida",0.0562
"Euphyllia_paraancora","Podabacia_sinai",0.6531
"Euphyllia_paraancora","Scapophyllia_cylindrica",0.9004
"Montipora_cactus","Montipora_hodgsoni",0.5303
"Montipora_cactus","Montipora_porites",0.4156
"Montipora_cactus","Mussismilia_hispida",0.0012
"Montipora_cactus","Podabacia_sinai",0.036
"Montipora_cactus","Scapophyllia_cylindrica",0.1519
"Montipora_hodgsoni","Montipora_porites",0.202
"Montipora_hodgsoni","Mussismilia_hispida",4e-04
"Montipora_hodgsoni","Podabacia_sinai",0.0131
"Montipora_hodgsoni","Scapophyllia_cylindrica",0.0599
"Montipora_porites","Mussismilia_hispida",7e-04
"Montipora_porites","Podabacia_sinai",0.0206
"Montipora_porites","Scapophyllia_cylindrica",0.0919
"Mussismilia_hispida","Podabacia_sinai",0.927
"Mussismilia_hispida","Scapophyllia_cylindrica",0.9839
"Podabacia_sinai","Scapophyllia_cylindrica",0.6585
