"species1","species2","prob.species1.wins"
"Acropora_plantaginea","Echinopora_gemmacea",0.2638
"Acropora_plantaginea","Leptastrea_aequalis",0.3211
"Acropora_plantaginea","Lobactis_scutaria",0.0024
"Acropora_plantaginea","Lobophyllia_diminuta",0.017
"Acropora_plantaginea","Montipora_turtlensis",0.6506
"Acropora_plantaginea","Orbicella_annularis",0.0604
"Acropora_plantaginea","Pavona_maldivensis",0.2556
"Echinopora_gemmacea","Leptastrea_aequalis",0.3466
"Echinopora_gemmacea","Lobactis_scutaria",0.0027
"Echinopora_gemmacea","Lobophyllia_diminuta",0.019
"Echinopora_gemmacea","Montipora_turtlensis",0.6761
"Echinopora_gemmacea","Orbicella_annularis",0.0672
"Echinopora_gemmacea","Pavona_maldivensis",0.278
"Leptastrea_aequalis","Lobactis_scutaria",0.0021
"Leptastrea_aequalis","Lobophyllia_diminuta",0.0145
"Leptastrea_aequalis","Montipora_turtlensis",0.6126
"Leptastrea_aequalis","Orbicella_annularis",0.0518
"Leptastrea_aequalis","Pavona_maldivensis",0.2259
"Lobactis_scutaria","Lobophyllia_diminuta",0.7402
"Lobactis_scutaria","Montipora_turtlensis",0.9968
"Lobactis_scutaria","Orbicella_annularis",0.9138
"Lobactis_scutaria","Pavona_maldivensis",0.9827
"Lobophyllia_diminuta","Montipora_turtlensis",0.9774
"Lobophyllia_diminuta","Orbicella_annularis",0.5992
"Lobophyllia_diminuta","Pavona_maldivensis",0.8888
"Montipora_turtlensis","Orbicella_annularis",0.0137
"Montipora_turtlensis","Pavona_maldivensis",0.069
"Orbicella_annularis","Pavona_maldivensis",0.6823
