"species1","species2","prob.species1.wins"
"Agaricia_agaricites","Agaricia_humilis",.2294
"Agaricia_agaricites","Colpophyllia_natans",.0838
"Agaricia_agaricites","Madracis_decactis",.4761
"Agaricia_agaricites","Madracis_mirabilis",.4229
"Agaricia_agaricites","Meandrina_meandrites",.0805
"Agaricia_agaricites","Porites_astreoides",.6405
"Agaricia_agaricites","Porites_furcata",.3537
"Agaricia_agaricites","Porites_porites",.2983
"Agaricia_agaricites","Siderastrea_siderea",.2679
"Agaricia_humilis","Colpophyllia_natans",.1099
"Agaricia_humilis","Madracis_decactis",.5509
"Agaricia_humilis","Madracis_mirabilis",.4973
"Agaricia_humilis","Meandrina_meandrites",.1056
"Agaricia_humilis","Porites_astreoides",.7063
"Agaricia_humilis","Porites_furcata",.4249
"Agaricia_humilis","Porites_porites",.3646
"Agaricia_humilis","Siderastrea_siderea",.3307
"Colpophyllia_natans","Madracis_decactis",.7997
"Colpophyllia_natans","Madracis_mirabilis",.763
"Colpophyllia_natans","Meandrina_meandrites",.2777
"Colpophyllia_natans","Porites_astreoides",.8867
"Colpophyllia_natans","Porites_furcata",.7063
"Colpophyllia_natans","Porites_porites",.6513
"Colpophyllia_natans","Siderastrea_siderea",.6166
"Madracis_decactis","Madracis_mirabilis",.2447
"Madracis_decactis","Meandrina_meandrites",.0372
"Madracis_decactis","Porites_astreoides",.4406
"Madracis_decactis","Porites_furcata",.1948
"Madracis_decactis","Porites_porites",.1582
"Madracis_decactis","Siderastrea_siderea",.1393
"Madracis_mirabilis","Meandrina_meandrites",.0458
"Madracis_mirabilis","Porites_astreoides",.4942
"Madracis_mirabilis","Porites_furcata",.2308
"Madracis_mirabilis","Porites_porites",.1891
"Madracis_mirabilis","Siderastrea_siderea",.1672
"Meandrina_meandrites","Porites_astreoides",.8911
"Meandrina_meandrites","Porites_furcata",.7153
"Meandrina_meandrites","Porites_porites",.6613
"Meandrina_meandrites","Siderastrea_siderea",.627
"Porites_astreoides","Porites_furcata",.1099
"Porites_astreoides","Porites_porites",.0875
"Porites_astreoides","Siderastrea_siderea",.0763
"Porites_furcata","Porites_porites",.2379
"Porites_furcata","Siderastrea_siderea",.2118
"Porites_porites","Siderastrea_siderea",.257
