communities,site,coral_sp_1,coral_sp_2,coral_sp_3,coral_sp_4,coral_sp_5,coral_sp_6,coral_sp_7,coral_sp_8,coral_sp_9,coral_sp_10,coral_sp_11,coral_sp_12,algae_fg_1,algae_fg_2,algae_fg_3,algae_fg_4,algae_fg_5,algae_fg_6,substrate
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,experiment,Madracis_decactis,Anacropora_pillai,Astreopora_listeri,Anomastraea_irregularis,Helioseris_cucullata,Pocillopora_damicornis,Porites_panamensis,Madracis_mirabilis,Acropora_sirikitiae,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,experiment,Montipora_kellyi,Alveopora_verrilliana,Seriatopora_guttata,Madracis_formosa,Oulophyllia_crispa,Mycetophyllia_reesi,Galaxea_horrescens,Porites_colonensis,Acropora_longicyathus,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,experiment,Anacropora_spumosa,Astreopora_ocellata,Stylophora_madagascarensis,Goniastrea_ramosa,Isopora_palifera,Stylocoeniella_muscosus,Echinophyllia_echinoporoides,Madracis_auretenra,Acropora_hoeksemai,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,experiment,Porites_nodifera,Anacropora_matthai,Astreopora_cucullata,Stylophora_kuehlmanni,Acropora_granulosa,Pocillopora_ankeli,Pseudosiderastrea_formosa,Galaxea_cryptoramosa,Acropora_parahemprichii,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,experiment,Porites_flavus,Isopora_cuneata,Anacropora_spinosa,Stylocoeniella_guentheri,Psammocora_interstinctus,Isopora_brueggemanni,Acropora_prolifera,Platygyra_crosslandi,Madracis_asanoi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,experiment,Porites_cumulatus,Goniopora_paliformis,Montipora_angulata,Porites_sillimaniani,Pectinia_pygmaea,Alveopora_daedalea,Echinophyllia_costata,Bernardpora_stutchburyi,Goniopora_albiconus,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,experiment,Astreopora_explanata,Craterastrea_levis,Echinophyllia_patula,Hydnophora_grandis,Montipora_palawanensis,Montipora_verrucosa,Oxypora_glabra,Pocillopora_fungiformis,Porites_arnaudi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,experiment,Anacropora_forbesi,Psammocora_digitata,Cyphastrea_hexasepta,Acropora_nana,Seriatopora_guttata,Stylophora_madagascarensis,Acropora_pulchra,Echinophyllia_echinoporoides,Pectinia_paeonia,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,experiment,Psammocora_contigua,Montipora_stilosa,Acropora_lokani,Acropora_bushyensis,Mycedium_steeni,Montipora_digitata,Platygyra_crosslandi,Acropora_abrotanoides,Physophyllia_ayleni,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,experiment,Acropora_elseyi,Montipora_dilatata,Anacropora_pillai,Merulina_scheeri,Montipora_meandrina,Acropora_hoeksemai,Platygyra_acuta,Acropora_granulosa,Pectinia_maxima,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,experiment,Acropora_listeri,Montipora_niugini,Montipora_kellyi,Montipora_floweri,Goniastrea_ramosa,Acropora_sarmentosa,Acropora_sirikitiae,Pseudosiderastrea_formosa,Acropora_minuta,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,experiment,Pavona_maldivensis,Anacropora_spumosa,Montipora_effusa,Acropora_lianae,Acropora_desalwii,Acropora_cervicornis,Acropora_parahemprichii,Platygyra_yaeyamaensis,Echinophyllia_echinata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,experiment,Anacropora_matthai,Montipora_tuberculosa,Acropora_rudis,Acropora_loripes,Acropora_subglabra,Bernardpora_stutchburyi,Pocillopora_ligulata,Hydnophora_rigida,Goniopora_albiconus,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,experiment,Acropora_cerealis,Anacropora_reticulata,Montipora_mollis,Acropora_aculeus,Pocillopora_capitata,Goniopora_tantillus,Acropora_caroliniana,Acropora_haimei,Mycedium_elephantotus,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,experiment,Echinopora_irregularis,Goniopora_djiboutiensis,Goniopora_planulata,Hydnophora_pilosa,Montipora_delicatula,Montipora_palawanensis,Pavona_danai,Pocillopora_inflata,Porites_bernardi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,experiment,Seriatopora_guttata,Montipora_digitata,Cyphastrea_japonica,Acropora_nana,Mycedium_steeni,Pectinia_paeonia,Palauastrea_ramosa,Madracis_carmabi,Acropora_valenciennesi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,experiment,Porites_sverdrupi,Anacropora_pillai,Astreopora_scabra,Acropora_lianae,Acropora_caroliniana,Stylophora_pistillata,Acropora_pulchra,Acropora_elegantula,Echinophyllia_echinata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,experiment,Stylophora_madagascarensis,Montipora_kellyi,Alveopora_excelsa,Acropora_elseyi,Goniastrea_ramosa,Acropora_longicyathus,Echinophyllia_echinoporoides,Madracis_auretenra,Physophyllia_ayleni,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,experiment,Madracis_mirabilis,Anacropora_reticulata,Astreopora_cucullata,Acropora_listeri,Acropora_abrotanoides,Pectinia_maxima,Acropora_intermedia,Pectinia_crassa,Madracis_asanoi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,experiment,Porites_porites,Galaxea_cryptoramosa,Montipora_altasepta,Astreopora_ocellata,Acropora_walindii,Acropora_granulosa,Acropora_minuta,Acropora_tortuosa,Acropora_pruinosa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,experiment,Anacropora_spinosa,Astreopora_listeri,Acropora_rudis,Pocillopora_ligulata,Acropora_subglabra,Oulophyllia_crispa,Acropora_prolifera,Echinophyllia_aspera,Acropora_pharaonis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,experiment,Pocillopora_capitata,Anacropora_spumosa,Alveopora_verrilliana,Oculina_varicosa,Goniopora_albiconus,Acropora_sirikitiae,Pseudosiderastrea_formosa,Acropora_cervicornis,Caulastraea_curvata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,experiment,Pocillopora_elegans,Goniopora_djiboutiensis,Cladocora_arbuscula,Acropora_maryae,Pocillopora_woodjonesi,Hydnophora_bonsai,Montipora_capricornis,Acropora_torresiana,Acropora_paniculata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,experiment,Anacropora_forbesi,Porites_latistellata,Pavona_cactus,Merulina_scheeri,Acropora_squarrosa,Porites_panamensis,Pavona_clavus,Mycedium_steeni,Caulastraea_furcata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,experiment,Montipora_niugini,Alveopora_allingi,Anacropora_puertogalerae,Acropora_bushyensis,Acropora_parapharaonis,Orbicella_annularis,Porites_horizontalata,Pavona_minuta,Pectinia_maxima,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,experiment,Montipora_hirsuta,Porites_ericacea,Pavona_xarifae,Pocillopora_capitata,Montipora_meandrina,Isopora_crateriformis,Orbicella_faveolata,Goniastrea_ramosa,Acropora_pulchra,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,experiment,Porites_cocosensis,Alveopora_gigas,Psammocora_contigua,Montipora_digitata,Madracis_kirbyi,Pavona_duerdeni,Montipora_angulata,Goniopora_albiconus,Acropora_sirikitiae,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,experiment,Goniopora_ciliatus,Astreopora_myriophthalma,Acropora_desalwii,Montipora_kellyi,Alveopora_daedalea,Porites_profundus,Echinophyllia_echinata,Acropora_natalensis,Echinopora_grandicula,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,experiment,Anacropora_spumosa,Montipora_taiwanensis,Dendrogyra_cylindrus,Acropora_sarmentosa,Porites_deformis,Acropora_plumosa,Pavona_diffluens,Echinophyllia_costata,Lobophyllia_corymbosa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,experiment,Montipora_samarensis,Montipora_flabellata,Acropora_millepora,Porites_solida,Acropora_cerealis,Cyphastrea_decadia,Pachyseris_involuta,Psammocora_albopicta,Acropora_subulata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,experiment,Astrea_devantieri,Montipora_efflorescens,Montipora_informis,Montipora_lobulata,Mycedium_mancaoi,Platygyra_acuta,Platygyra_verweyi,Platygyra_yaeyamaensis,Porites_somaliensis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,experiment,Montipora_hirsuta,Porites_panamensis,Pavona_clavus,Mycedium_steeni,Acropora_florida,Galaxea_horrescens,Coeloseris_mayeri,Stylophora_pistillata,Pectinia_maxima,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,experiment,Isopora_crateriformis,Pavona_cactus,Anacropora_puertogalerae,Goniastrea_ramosa,Galaxea_acrhelia,Porites_monticulosa,Acropora_abrolhosensis,Pavona_minuta,Orbicella_franksi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,experiment,Porites_ericacea,Alveopora_catalai,Orbicella_faveolata,Montipora_samarensis,Turbinaria_mesenterina,Pocillopora_damicornis,Porites_studeri,Acropora_grandis,Pavona_venosa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,experiment,Anacropora_pillai,Porites_latistellata,Pavona_xarifae,Montipora_angulata,Montipora_incrassata,Acropora_teres,Porites_colonensis,Physophyllia_ayleni,Lobophyllia_hemprichii,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,experiment,Anacropora_spumosa,Porites_branneri,Alveopora_allingi,Orbicella_annularis,Pocillopora_capitata,Acropora_squarrosa,Merulina_triangularis,Galaxea_fascicularis,Goniopora_albiconus,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,experiment,Porites_horizontalata,Acropora_muricata,Pavona_duerdeni,Anacropora_matthai,Madracis_kirbyi,Turbinaria_reniformis,Acropora_loisetteae,Echinophyllia_echinata,Leptoseris_incrustans,Turbinaria_radicalis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,experiment,Porites_cocosensis,Porites_lobata,Montipora_pachytuberculata,Montipora_digitata,Porites_sillimaniani,Acropora_ridzwani,Leptoseris_hawaiiensis,Acropora_hoeksemai,Psammocora_albopicta,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,experiment,Astreopora_explanata,Alveopora_tizardi,Montipora_foveolata,Platygyra_contorta,Astreopora_expansa,Colpophyllia_natans,Echinopora_ashmorensis,Goniopora_pedunculata,Astrea_devantieri,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,experiment,Montipora_niugini,Acropora_monticulosa,Acropora_rudis,Acropora_sarmentosa,Acropora_pulchra,Montipora_kellyi,Pavona_chiriquiensis,Pectinia_maxima,Lobophyllia_corymbosa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,experiment,Psammocora_contigua,Acropora_squarrosa,Orbicella_annularis,Acropora_walindii,Acropora_bushyensis,Anacropora_spumosa,Goniastrea_ramosa,Acropora_echinata,Pectinia_paeonia,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,experiment,Montipora_dilatata,Acropora_downingi,Cyphastrea_agassizi,Pavona_maldivensis,Anacropora_reticulata,Echinophyllia_costata,Pavona_gigantea,Acropora_elegantula,Lobophyllia_radians,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
