"species1","species2","prob.species1.wins"
"Acropora_gemmifera","Echinopora_horrida",0.3581
"Acropora_gemmifera","Echinopora_irregularis",0.0197
"Acropora_gemmifera","Goniopora_polyformis",0.0434
"Acropora_gemmifera","Hydnophora_bonsai",0.0244
"Acropora_gemmifera","Montipora_peltiformis",0.6813
"Acropora_gemmifera","Pavona_frondifera",0.1771
"Acropora_gemmifera","Porites_okinawensis",0.1087
"Echinopora_horrida","Echinopora_irregularis",0.0143
"Echinopora_horrida","Goniopora_polyformis",0.0316
"Echinopora_horrida","Hydnophora_bonsai",0.0177
"Echinopora_horrida","Montipora_peltiformis",0.6062
"Echinopora_horrida","Pavona_frondifera",0.1342
"Echinopora_horrida","Porites_okinawensis",0.0807
"Echinopora_irregularis","Goniopora_polyformis",0.4753
"Echinopora_irregularis","Hydnophora_bonsai",0.3333
"Echinopora_irregularis","Montipora_peltiformis",0.9771
"Echinopora_irregularis","Pavona_frondifera",0.8113
"Echinopora_irregularis","Porites_okinawensis",0.7089
"Goniopora_polyformis","Hydnophora_bonsai",0.1815
"Goniopora_polyformis","Montipora_peltiformis",0.9498
"Goniopora_polyformis","Pavona_frondifera",0.6559
"Goniopora_polyformis","Porites_okinawensis",0.5192
"Hydnophora_bonsai","Montipora_peltiformis",0.9717
"Hydnophora_bonsai","Pavona_frondifera",0.7755
"Hydnophora_bonsai","Porites_okinawensis",0.6618
"Montipora_peltiformis","Pavona_frondifera",0.0389
"Montipora_peltiformis","Porites_okinawensis",0.0224
"Pavona_frondifera","Porites_okinawensis",0.1854
