"species1","species2","prob.species1.wins"
"Acropora_millepora","Acropora_monticulosa",0.5652
"Acropora_millepora","Caulastraea_furcata",0.0314
"Acropora_millepora","Cyphastrea_microphthalma",0.2547
"Acropora_millepora","Montipora_foliosa",0.6245
"Acropora_millepora","Orbicella_annularis",0.0401
"Acropora_millepora","Pachyseris_involuta",0.0523
"Acropora_millepora","Turbinaria_patula",0.2823
"Acropora_monticulosa","Caulastraea_furcata",0.0099
"Acropora_monticulosa","Cyphastrea_microphthalma",0.0956
"Acropora_monticulosa","Montipora_foliosa",0.3395
"Acropora_monticulosa","Orbicella_annularis",0.0127
"Acropora_monticulosa","Pachyseris_involuta",0.0168
"Acropora_monticulosa","Turbinaria_patula",0.1084
"Caulastraea_furcata","Cyphastrea_microphthalma",0.8093
"Caulastraea_furcata","Montipora_foliosa",0.9538
"Caulastraea_furcata","Orbicella_annularis",0.3414
"Caulastraea_furcata","Pachyseris_involuta",0.4066
"Caulastraea_furcata","Turbinaria_patula",0.83
"Cyphastrea_microphthalma","Montipora_foliosa",0.6616
"Cyphastrea_microphthalma","Orbicella_annularis",0.0468
"Cyphastrea_microphthalma","Pachyseris_involuta",0.0609
"Cyphastrea_microphthalma","Turbinaria_patula",0.3162
"Montipora_foliosa","Orbicella_annularis",0.01
"Montipora_foliosa","Pachyseris_involuta",0.0132
"Montipora_foliosa","Turbinaria_patula",0.0868
"Orbicella_annularis","Pachyseris_involuta",0.3469
"Orbicella_annularis","Turbinaria_patula",0.791
"Pachyseris_involuta","Turbinaria_patula",0.7412
