"species1","species2","prob.species1.wins"
"Acropora_humilis","Acropora_variolosa",0.1394
"Acropora_humilis","Montipora_lobulata",0.4804
"Acropora_humilis","Montipora_spongiosa",0.1821
"Acropora_humilis","Montipora_spongodes",0.472
"Acropora_humilis","Montipora_turtlensis",0.5177
"Acropora_humilis","Mycedium_robokaki",0.0346
"Acropora_variolosa","Montipora_lobulata",0.6964
"Acropora_variolosa","Montipora_spongiosa",0.3559
"Acropora_variolosa","Montipora_spongodes",0.6892
"Acropora_variolosa","Montipora_turtlensis",0.727
"Acropora_variolosa","Mycedium_robokaki",0.0817
"Montipora_lobulata","Montipora_spongiosa",0.0882
"Montipora_lobulata","Montipora_spongodes",0.2798
"Montipora_lobulata","Montipora_turtlensis",0.3182
"Montipora_lobulata","Mycedium_robokaki",0.0154
"Montipora_spongiosa","Montipora_spongodes",0.6173
"Montipora_spongiosa","Montipora_turtlensis",0.6595
"Montipora_spongiosa","Mycedium_robokaki",0.0608
"Montipora_spongodes","Montipora_turtlensis",0.3255
"Montipora_spongodes","Mycedium_robokaki",0.0159
"Montipora_turtlensis","Mycedium_robokaki",0.0132
