"species1","species2","prob.species1.wins"
"Acropora_acuminata","Acropora_plantaginea",0.1217
"Acropora_acuminata","Goniopora_norfolkensis",0.1894
"Acropora_acuminata","Leptoseris_foliosa",0.4473
"Acropora_acuminata","Montipora_millepora",0.5863
"Acropora_acuminata","Oxypora_lacera",0.0428
"Acropora_acuminata","Pavona_danai",0.1715
"Acropora_acuminata","Pocillopora_elegans",0.3171
"Acropora_plantaginea","Goniopora_norfolkensis",0.404
"Acropora_plantaginea","Leptoseris_foliosa",0.7013
"Acropora_plantaginea","Montipora_millepora",0.8043
"Acropora_plantaginea","Oxypora_lacera",0.1148
"Acropora_plantaginea","Pavona_danai",0.3752
"Acropora_plantaginea","Pocillopora_elegans",0.5739
"Goniopora_norfolkensis","Leptoseris_foliosa",0.5819
"Goniopora_norfolkensis","Montipora_millepora",0.709
"Goniopora_norfolkensis","Oxypora_lacera",0.0714
"Goniopora_norfolkensis","Pavona_danai",0.2625
"Goniopora_norfolkensis","Pocillopora_elegans",0.444
"Leptoseris_foliosa","Montipora_millepora",0.413
"Leptoseris_foliosa","Oxypora_lacera",0.0217
"Leptoseris_foliosa","Pavona_danai",0.0932
"Leptoseris_foliosa","Pocillopora_elegans",0.1874
"Montipora_millepora","Oxypora_lacera",0.0125
"Montipora_millepora","Pavona_danai",0.0554
"Montipora_millepora","Pocillopora_elegans",0.1163
"Oxypora_lacera","Pavona_danai",0.6503
"Oxypora_lacera","Pocillopora_elegans",0.8066
"Pavona_danai","Pocillopora_elegans",0.474
