"species1","species2","prob.species1.wins"
"Acropora_tenuis","Acropora_valida",0.2467
"Acropora_tenuis","Astreopora_myriophthalma",0.0974
"Acropora_tenuis","Caulastraea_connata",0.003
"Acropora_tenuis","Goniastrea_favulus",0.0351
"Acropora_tenuis","Heliofungia_actiniformis",3e-04
"Acropora_tenuis","Leptoseris_foliosa",0.2881
"Acropora_tenuis","Psammocora_contigua",0.1582
"Acropora_valida","Astreopora_myriophthalma",0.1169
"Acropora_valida","Caulastraea_connata",0.0037
"Acropora_valida","Goniastrea_favulus",0.0428
"Acropora_valida","Heliofungia_actiniformis",4e-04
"Acropora_valida","Leptoseris_foliosa",0.3317
"Acropora_valida","Psammocora_contigua",0.1873
"Astreopora_myriophthalma","Caulastraea_connata",0.011
"Astreopora_myriophthalma","Goniastrea_favulus",0.1194
"Astreopora_myriophthalma","Heliofungia_actiniformis",0.0013
"Astreopora_myriophthalma","Leptoseris_foliosa",0.601
"Astreopora_myriophthalma","Psammocora_contigua",0.4115
"Caulastraea_connata","Goniastrea_favulus",0.8298
"Caulastraea_connata","Heliofungia_actiniformis",0.0437
"Caulastraea_connata","Leptoseris_foliosa",0.9819
"Caulastraea_connata","Psammocora_contigua",0.9618
"Goniastrea_favulus","Heliofungia_actiniformis",0.0038
"Goniastrea_favulus","Leptoseris_foliosa",0.817
"Goniastrea_favulus","Psammocora_contigua",0.6746
"Heliofungia_actiniformis","Leptoseris_foliosa",0.9979
"Heliofungia_actiniformis","Psammocora_contigua",0.9955
"Leptoseris_foliosa","Psammocora_contigua",0.1572
