"species1","species2","prob.species1.wins"
"Acropora_clathrata","Acropora_gomezi",0.1256
"Acropora_clathrata","Acropora_hoeksemai",0.0668
"Acropora_clathrata","Acropora_loisetteae",0.0828
"Acropora_clathrata","Acropora_subulata",0.1867
"Acropora_clathrata","Anacropora_matthai",0.2744
"Acropora_clathrata","Montipora_angulata",0.2268
"Acropora_clathrata","Montipora_kellyi",0.0095
"Acropora_clathrata","Pocillopora_effusa",0.0649
"Acropora_gomezi","Acropora_hoeksemai",0.1667
"Acropora_gomezi","Acropora_loisetteae",0.2016
"Acropora_gomezi","Acropora_subulata",0.391
"Acropora_gomezi","Anacropora_matthai",0.514
"Acropora_gomezi","Montipora_angulata",0.4506
"Acropora_gomezi","Montipora_kellyi",0.0261
"Acropora_gomezi","Pocillopora_effusa",0.1626
"Acropora_hoeksemai","Acropora_loisetteae",0.3365
"Acropora_hoeksemai","Acropora_subulata",0.5632
"Acropora_hoeksemai","Anacropora_matthai",0.6799
"Acropora_hoeksemai","Montipora_angulata",0.6222
"Acropora_hoeksemai","Montipora_kellyi",0.051
"Acropora_hoeksemai","Pocillopora_effusa",0.2806
"Acropora_loisetteae","Acropora_subulata",0.5054
"Acropora_loisetteae","Anacropora_matthai",0.6273
"Acropora_loisetteae","Montipora_angulata",0.5662
"Acropora_loisetteae","Montipora_kellyi",0.0408
"Acropora_loisetteae","Pocillopora_effusa",0.2361
"Acropora_subulata","Anacropora_matthai",0.3983
"Acropora_subulata","Montipora_angulata",0.3392
"Acropora_subulata","Montipora_kellyi",0.0165
"Acropora_subulata","Pocillopora_effusa",0.1084
"Anacropora_matthai","Montipora_angulata",0.2375
"Anacropora_matthai","Montipora_kellyi",0.0101
"Anacropora_matthai","Pocillopora_effusa",0.0687
"Montipora_angulata","Montipora_kellyi",0.0129
"Montipora_angulata","Pocillopora_effusa",0.0869
"Montipora_kellyi","Pocillopora_effusa",0.7447
