"species1","species2","prob.species1.wins"
"Acropora_desalwii","Acropora_granulosa",0.4608
"Acropora_desalwii","Alveopora_viridis",0.2577
"Acropora_desalwii","Cladocora_caespitosa",0.0071
"Acropora_desalwii","Cycloseris_distorta",0.0258
"Acropora_desalwii","Goniopora_sultani",0.0198
"Acropora_desalwii","Isophyllia_rigida",0.0059
"Acropora_desalwii","Pachyseris_speciosa",0.1866
"Acropora_granulosa","Alveopora_viridis",0.1403
"Acropora_granulosa","Cladocora_caespitosa",0.0033
"Acropora_granulosa","Cycloseris_distorta",0.0123
"Acropora_granulosa","Goniopora_sultani",0.0094
"Acropora_granulosa","Isophyllia_rigida",0.0028
"Acropora_granulosa","Pachyseris_speciosa",0.0974
"Alveopora_viridis","Cladocora_caespitosa",0.0082
"Alveopora_viridis","Cycloseris_distorta",0.0298
"Alveopora_viridis","Goniopora_sultani",0.0228
"Alveopora_viridis","Isophyllia_rigida",0.0068
"Alveopora_viridis","Pachyseris_speciosa",0.2098
"Cladocora_caespitosa","Cycloseris_distorta",0.5989
"Cladocora_caespitosa","Goniopora_sultani",0.5322
"Cladocora_caespitosa","Isophyllia_rigida",0.2503
"Cladocora_caespitosa","Pachyseris_speciosa",0.9282
"Cycloseris_distorta","Goniopora_sultani",0.2344
"Cycloseris_distorta","Isophyllia_rigida",0.0824
"Cycloseris_distorta","Pachyseris_speciosa",0.7767
"Goniopora_sultani","Isophyllia_rigida",0.1055
"Goniopora_sultani","Pachyseris_speciosa",0.8203
"Isophyllia_rigida","Pachyseris_speciosa",0.9396
