"species1","species2","prob.species1.wins"
"Acropora_tenuis","Ctenactis_albitentaculata",3e-04
"Acropora_tenuis","Cycloseris_hexagonalis",0.0037
"Acropora_tenuis","Goniopora_djiboutiensis",0.0371
"Acropora_tenuis","Leptoseris_striata",0.0421
"Acropora_tenuis","Montipora_corbettensis",0.2816
"Acropora_tenuis","Mycedium_elephantotus",0.0187
"Acropora_tenuis","Pseudodiploria_clivosa",0.0061
"Ctenactis_albitentaculata","Cycloseris_hexagonalis",0.845
"Ctenactis_albitentaculata","Goniopora_djiboutiensis",0.9827
"Ctenactis_albitentaculata","Leptoseris_striata",0.9848
"Ctenactis_albitentaculata","Montipora_corbettensis",0.9983
"Ctenactis_albitentaculata","Mycedium_elephantotus",0.9656
"Ctenactis_albitentaculata","Pseudodiploria_clivosa",0.9009
"Cycloseris_hexagonalis","Goniopora_djiboutiensis",0.8075
"Cycloseris_hexagonalis","Leptoseris_striata",0.8271
"Cycloseris_hexagonalis","Montipora_corbettensis",0.9771
"Cycloseris_hexagonalis","Mycedium_elephantotus",0.6745
"Cycloseris_hexagonalis","Pseudodiploria_clivosa",0.4014
"Goniopora_djiboutiensis","Leptoseris_striata",0.3142
"Goniopora_djiboutiensis","Montipora_corbettensis",0.8033
"Goniopora_djiboutiensis","Mycedium_elephantotus",0.1656
"Goniopora_djiboutiensis","Pseudodiploria_clivosa",0.0603
"Leptoseris_striata","Montipora_corbettensis",0.7817
"Leptoseris_striata","Mycedium_elephantotus",0.1482
"Leptoseris_striata","Pseudodiploria_clivosa",0.0533
"Montipora_corbettensis","Mycedium_elephantotus",0.0192
"Montipora_corbettensis","Pseudodiploria_clivosa",0.0063
"Mycedium_elephantotus","Pseudodiploria_clivosa",0.1151
