"species1","species2","prob.species1.wins"
"Agaricia_agaricites","Cladocora_caespitosa",0.0645
"Agaricia_agaricites","Favites_abdita",0.2894
"Agaricia_agaricites","Gyrosmilia_interrupta",0.3797
"Agaricia_agaricites","Hydnophora_pilosa",0.5038
"Agaricia_agaricites","Leptastrea_purpurea",0.4776
"Agaricia_agaricites","Pachyseris_rugosa",0.6377
"Agaricia_agaricites","Pavona_venosa",0.4467
"Cladocora_caespitosa","Favites_abdita",0.7036
"Cladocora_caespitosa","Gyrosmilia_interrupta",0.7811
"Cladocora_caespitosa","Hydnophora_pilosa",0.8555
"Cladocora_caespitosa","Leptastrea_purpurea",0.8421
"Cladocora_caespitosa","Pachyseris_rugosa",0.9112
"Cladocora_caespitosa","Pavona_venosa",0.8248
"Favites_abdita","Gyrosmilia_interrupta",0.3766
"Favites_abdita","Hydnophora_pilosa",0.5005
"Favites_abdita","Leptastrea_purpurea",0.4743
"Favites_abdita","Pachyseris_rugosa",0.6346
"Favites_abdita","Pavona_venosa",0.4434
"Gyrosmilia_interrupta","Hydnophora_pilosa",0.3999
"Gyrosmilia_interrupta","Leptastrea_purpurea",0.3751
"Gyrosmilia_interrupta","Pachyseris_rugosa",0.536
"Gyrosmilia_interrupta","Pavona_venosa",0.3464
"Hydnophora_pilosa","Leptastrea_purpurea",0.2657
"Hydnophora_pilosa","Pachyseris_rugosa",0.4105
"Hydnophora_pilosa","Pavona_venosa",0.2421
"Leptastrea_purpurea","Pachyseris_rugosa",0.4361
"Leptastrea_purpurea","Pavona_venosa",0.2619
"Pachyseris_rugosa","Pavona_venosa",0.1556
