year,Porites_astreoides,Meandrina_meandrites,Agaricia_agaricites,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand,event
0.0,3.3155555555555556,2.128888888888889,7.249999999999999,2.3944444444444444,2.0155555555555553,0.758888888888889,0.4677777777777778,3.2411111111111115,0.0,0.0,0.0,0.0,0.3522222222222222,47.062222222222225,11.821111111111112,6.401111111111112,0.721111111111111,0.0,2.491111111111111,initial_count
0.1,3.3155555555555556,2.128888888888889,7.249999999999999,2.3944444444444444,0.4166666666666667,0.4577777777777778,0.4677777777777778,3.2411111111111115,0.0,0.0,0.0,0.0,0.35000000000000003,34.27777777777778,11.642222222222221,5.757777777777777,0.5444444444444444,0.0,2.491111111111111,cyclone
0.25,3.3099999999999996,2.1044444444444443,7.2844444444444445,2.4,0.43222222222222223,0.47888888888888886,0.5177777777777778,3.288888888888889,0.0,0.0,0.0,0.0,0.42,42.61888888888889,10.311111111111112,7.027777777777777,0.5777777777777777,0.0,18.46888888888889,end_season
0.35,3.3099999999999996,2.1044444444444443,7.2844444444444445,2.4,0.2588888888888889,0.47888888888888886,0.5177777777777778,3.288888888888889,0.0,0.0,0.0,0.0,0.31222222222222223,30.703333333333333,10.148888888888889,6.1033333333333335,0.44555555555555554,0.0,18.46888888888889,cyclone
0.5,3.8666666666666667,2.0844444444444443,7.612222222222222,2.3533333333333335,0.45222222222222225,1.0611111111111111,0.9766666666666667,3.2966666666666664,0.0,0.0,0.0,0.0,2.7911111111111113,35.04888888888889,10.404444444444444,8.614444444444445,2.9744444444444444,0.0,1.66,end_season
0.6,3.8666666666666667,2.0844444444444443,7.612222222222222,2.3533333333333335,0.45222222222222225,1.0611111111111111,0.9766666666666667,3.2966666666666664,0.0,0.0,0.0,0.0,2.362222222222222,28.574444444444445,10.27,7.626666666666666,2.398888888888889,0.0,1.66,cyclone
0.7,3.408888888888889,1.7666666666666668,5.075555555555555,2.2344444444444447,0.43888888888888894,0.9855555555555555,0.8788888888888889,3.327777777777778,0.0,0.0,0.0,0.0,2.362222222222222,28.574444444444445,9.937777777777777,7.626666666666666,2.398888888888889,0.0,1.66,bleaching
0.75,3.535555555555556,1.648888888888889,5.236666666666666,2.145555555555555,0.6222222222222222,1.4877777777777779,1.572222222222222,3.301111111111111,0.0,0.0,0.0,0.0,3.5633333333333335,42.52666666666667,7.188888888888889,9.268888888888888,2.6655555555555552,0.0,1.6733333333333333,end_season
0.85,3.535555555555556,1.648888888888889,5.236666666666666,2.145555555555555,0.6222222222222222,1.4877777777777779,1.572222222222222,3.301111111111111,0.0,0.0,0.0,0.0,3.037777777777778,33.62555555555555,7.044444444444445,8.456666666666667,2.2155555555555555,0.0,1.6733333333333333,cyclone
0.95,2.5544444444444445,1.15,4.966666666666667,0.8622222222222222,0.4544444444444445,1.0866666666666667,1.278888888888889,3.2822222222222224,0.0,0.0,0.0,0.0,3.037777777777778,33.62555555555555,7.044444444444445,8.456666666666667,2.2155555555555555,0.0,1.6733333333333333,bleaching
1.0,2.371111111111111,0.98,4.687777777777778,0.7944444444444445,0.5411111111111111,1.1188888888888888,1.7722222222222221,3.1311111111111107,0.0,0.0,0.0,0.0,4.003333333333333,44.294444444444444,4.872222222222222,10.232222222222221,2.722222222222222,0.0,2.147777777777778,end_season
1.1,2.9022222222222225,1.1422222222222222,5.438888888888889,0.7944444444444445,0.5444444444444444,1.1388888888888888,1.8444444444444443,3.1311111111111107,0.0,0.0,0.0,0.0,3.465555555555556,34.71333333333334,4.788888888888889,9.393333333333333,2.358888888888889,0.0,2.147777777777778,cyclone
1.25,2.3555555555555556,0.8722222222222221,4.551111111111111,0.6377777777777778,0.4988888888888889,1.1855555555555555,2.1011111111111114,2.86,0.0,0.0,0.0,0.0,4.687777777777778,45.513333333333335,3.15,11.492222222222221,2.638888888888889,0.0,2.1333333333333333,end_season
1.35,2.94,1.0822222222222222,4.555555555555555,1.632222222222222,0.6188888888888888,1.3588888888888888,2.2933333333333334,2.86,0.0,0.0,0.0,0.0,3.768888888888889,34.761111111111106,3.04,10.38,2.167777777777778,0.0,2.1333333333333333,cyclone
1.5,2.4299999999999997,0.7577777777777778,3.9477777777777776,1.2688888888888887,0.6144444444444445,1.2444444444444445,2.2422222222222223,2.5755555555555554,0.0,0.0,0.0,0.0,5.0777777777777775,46.08222222222223,1.8966666666666667,12.693333333333335,2.34,0.0,2.601111111111111,end_season
